NUM_AUTORIZACION_TC,MON_MOVIMIENTO_QUETZALIZADO,FEC_AUTORIZACION,TIP_NEGOCIO,PAIS_ORIGEN,COD_MONEDA_ORIGEN,COD_PROD_EMISOR,NUM_CTA_DEB,COD_CLIENTE,IND_ANOMALA,IND_ESTADO_INACTIVA,PORC_RETIRO,CNT_CUENTAS_DISTINTAS,IND_DEBAJO_UMBRAL_15K,IND_SUP_15K,CNT_RETIRO_CUENTA,CNT_CAJEROS_DISTINTOS
757164,500.0,2005-10-21 18:26:00,3357,37,29,2,32605,34859,1,0,0.27,1,0,0,3,1
238613,500.0,2005-06-30 19:21:00,4515,37,29,4,21363,23997,1,0,0.66,1,0,0,1,1
635922,500.0,2005-09-26 13:34:00,2721,37,29,2,32605,34859,1,0,0.05,1,0,0,2,1
915760,500.0,2005-11-24 18:29:00,2724,37,29,4,26720,37007,1,0,0.11,1,0,0,1,1
569871,500.0,2005-09-11 16:28:00,4554,37,29,4,23658,21845,1,0,0.29,1,0,0,1,1
278954,300.0,2005-07-09 13:55:00,4224,37,29,4,26720,37007,1,0,0.33,1,0,0,1,1
178427,300.0,2005-06-15 21:25:00,4012,37,29,2,32605,34859,1,0,107.14,1,0,0,2,1
38450,1000.0,2005-05-11 17:32:00,1673,37,29,10,40684,35477,1,0,0.09,1,0,0,1,1
577070,500.0,2005-09-13 19:07:00,3374,37,29,4,23658,21845,1,0,0.67,1,0,0,1,1
628406,300.0,2005-09-24 12:48:00,3452,37,29,4,38229,36655,1,0,0.22,1,0,0,1,1
41662,200.0,2005-05-12 18:19:00,3914,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
564374,100.0,2005-09-10 11:10:00,3452,37,29,4,38229,36655,1,0,0.12,1,0,0,1,1
102422,500.0,2005-05-28 10:22:00,4515,37,29,4,21363,23997,1,0,0.95,1,0,0,1,1
637570,100.0,2005-09-26 19:18:00,2724,37,29,4,26720,37007,1,0,0.02,1,0,0,1,1
139077,100.0,2005-06-05 10:16:00,1943,37,29,10,41181,17392,1,0,0.1,1,0,0,1,1
703277,100.0,2005-10-11 06:13:00,3988,37,29,4,38229,36655,1,0,0.11,1,0,0,1,1
