NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_IF,IND_ANOMALA_RF,IND_ANOMALA_GN,IND_ACC_SVM,IND_ACC_IF,IND_ACC_RF
41662,[1],[1],[1],NA,1,[1],[1]
292886,[1],[1],[1],NA,1,[1],[1]
434009,[1],[1],[1],NA,1,[1],[1]
854589,[1],[1],[1],BAJA,1,[1],[1]
852216,[1],[1],[1],NA,1,[1],[1]
40481,[1],[1],[1],NA,1,[1],[1]
855944,[1],[1],[1],MEDIA,1,[1],[1]
437474,[1],[1],[1],BAJA,1,[1],[1]
573254,[1],[1],[1],MEDIA,0.8,[1],[1]
709137,[1],[1],[1],NA,1,[1],[1]
707667,[1],[1],[1],NA,1,[1],[1]
161730,[1],[1],[1],NA,1,[1],[1]
709141,[1],[1],[1],BAJA,1,[1],[1]
435637,[1],[1],[1],NA,1,[1],[1]
573481,[1],[1],[1],NA,1,[1],[1]
854959,[1],[1],[1],BAJA,1,[1],[1]
855019,[1],[1],[1],MEDIA,1,[1],[1]
709120,[1],[1],[1],BAJA,0.8,[1],[1]
433845,[1],[1],[1],NA,1,[1],[1]
571325,[1],[1],[1],NA,1,[1],[1]
709151,[1],[1],[1],BAJA,1,[1],[1]
40270,[1],[1],[1],MEDIA,1,[1],[1]
852508,[-1],[1],[1],MEDIA,0.2,[1],[1]
40159,[1],[1],[1],BAJA,1,[1],[1]
707710,[-1],[1],[1],NA,0.6,[1],[1]
709628,[1],[1],[1],NA,1,[1],[1]
290343,[1],[1],[1],NA,1,[1],[1]
163180,[1],[1],[1],NA,1,[1],[1]
41235,[1],[1],[1],NA,0.8,[1],[1]
709146,[1],[1],[1],BAJA,1,[1],[1]
42089,[1],[1],[1],MEDIA,1,[1],[1]
40086,[1],[1],[1],NA,1,[1],[1]
439862,[1],[1],[1],NA,1,[1],[1]
39952,[1],[1],[1],BAJA,1,[1],[1]
570682,[1],[1],[1],NA,0.6,[1],[1]
570924,[1],[1],[1],NA,0.6,[1],[1]
573316,[1],[1],[1],MEDIA,1,[1],[1]
708119,[1],[1],[1],NA,1,[1],[1]
440026,[1],[1],[1],NA,0.8,[1],[1]
571338,[1],[1],[1],NA,1,[1],[1]
434042,[1],[1],[1],NA,1,[1],[1]
40883,[1],[1],[1],BAJA,1,[1],[1]
438449,[1],[1],[1],NA,1,[1],[1]
437783,[1],[1],[1],BAJA,1,[1],[1]
939402,[1],[1],[1],NA,0,[1],[1]
939693,[1],[1],[1],NA,0.2,[1],[1]
