NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN,IND_ACC_SVM
915760,[1],NA,1.0
912289,[-1],NA,0.8
837673,[1],NA,1.0
850608,[1],NA,1.0
858537,[1],NA,1.0
857889,[1],NA,1.0
831989,[1],NA,1.0
817748,[1],BAJA,1.0
905946,[1],NA,1.0
841806,[1],NA,1.0
928373,[1],NA,1.0
819555,[1],NA,1.0
894777,[1],NA,1.0
890448,[1],NA,1.0
921522,[1],NA,1.0
854589,[1],BAJA,1.0
837128,[1],BAJA,1.0
852216,[1],NA,1.0
935989,[1],BAJA,1.0
903824,[1],NA,1.0
896269,[1],NA,1.0
855944,[1],MEDIA,1.0
837346,[1],NA,1.0
931708,[1],BAJA,0.6
821093,[1],BAJA,1.0
864857,[1],MEDIA,1.0
902289,[-1],NA,0.4
851022,[1],MEDIA,1.0
863120,[1],NA,1.0
847434,[1],NA,1.0
877167,[1],NA,1.0
937611,[-1],NA,0.0
814428,[1],BAJA,1.0
905979,[1],NA,1.0
818839,[1],BAJA,1.0
898514,[1],NA,1.0
900116,[1],MEDIA,1.0
867200,[1],BAJA,1.0
810792,[1],NA,1.0
836333,[1],NA,1.0
880238,[1],MEDIA,1.0
901470,[-1],NA,0.6
861306,[1],MEDIA,1.0
927845,[1],NA,1.0
830661,[1],NA,1.0
824852,[-1],NA,0.0
891366,[1],BAJA,1.0
867207,[1],NA,1.0
819193,[1],NA,1.0
848521,[1],NA,1.0
828224,[1],BAJA,1.0
826042,[1],NA,1.0
830163,[1],NA,1.0
898521,[1],BAJA,0.8
860837,[1],NA,1.0
901838,[1],NA,1.0
850334,[1],NA,1.0
810062,[-1],NA,0.0
813047,[1],NA,1.0
888084,[1],NA,1.0
906556,[1],NA,1.0
812799,[1],NA,1.0
923198,[1],NA,1.0
894341,[1],NA,1.0
825460,[1],NA,1.0
844623,[-1],NA,0.0
879150,[-1],NA,0.0
856758,[-1],NA,0.0
810675,[1],NA,1.0
903025,[-1],NA,0.0
930233,[-1],NA,0.0
936612,[-1],NA,0.0
869997,[-1],BAJA,0.0
854959,[1],BAJA,1.0
851515,[1],MEDIA,1.0
827282,[1],MEDIA,1.0
840404,[1],MEDIA,1.0
836850,[1],NA,1.0
909114,[-1],NA,0.6
933660,[1],NA,1.0
842469,[1],NA,1.0
897413,[1],NA,1.0
824732,[-1],NA,0.0
855019,[1],MEDIA,1.0
844960,[1],BAJA,0.8
932031,[1],NA,1.0
850930,[1],BAJA,0.8
849347,[1],BAJA,0.8
849234,[1],BAJA,0.8
850419,[1],NA,1.0
840026,[1],MEDIA,1.0
835176,[1],NA,1.0
911199,[1],NA,1.0
844405,[1],BAJA,1.0
879431,[1],NA,1.0
900009,[1],NA,1.0
843791,[1],BAJA,1.0
914121,[1],NA,1.0
908098,[1],MEDIA,1.0
931751,[1],NA,1.0
805497,[-1],NA,0.0
852508,[-1],BAJA,0.0
833780,[-1],BAJA,0.0
833480,[1],NA,1.0
925923,[1],NA,1.0
818795,[1],NA,1.0
847724,[1],NA,0.8
907392,[1],BAJA,1.0
824568,[1],NA,1.0
904308,[1],MEDIA,1.0
820728,[1],NA,0.8
821342,[1],NA,1.0
831187,[1],NA,1.0
921262,[-1],NA,0.0
817742,[1],NA,1.0
860704,[1],NA,0.6
840019,[1],MEDIA,1.0
840358,[1],NA,1.0
849084,[1],NA,0.8
883977,[1],BAJA,1.0
844401,[1],NA,0.8
827576,[1],NA,1.0
931958,[1],NA,1.0
927030,[1],NA,1.0
892935,[1],NA,1.0
825260,[1],MEDIA,1.0
864931,[1],NA,1.0
844317,[1],NA,1.0
825378,[1],NA,1.0
903385,[1],NA,1.0
882394,[1],NA,1.0
924067,[1],NA,1.0
922931,[1],NA,1.0
926048,[1],NA,1.0
838624,[1],MEDIA,1.0
919300,[1],NA,1.0
850339,[1],BAJA,1.0
811738,[1],NA,1.0
828910,[1],MEDIA,1.0
913227,[1],NA,1.0
867471,[1],NA,1.0
915043,[1],NA,1.0
908012,[1],MEDIA,1.0
827995,[1],MEDIA,1.0
879385,[1],BAJA,1.0
839857,[1],NA,1.0
816801,[1],NA,1.0
807950,[1],NA,0.8
885866,[1],MEDIA,1.0
818834,[1],NA,1.0
809073,[1],MEDIA,1.0
928605,[1],NA,1.0
919581,[1],BAJA,1.0
835725,[1],NA,1.0
900368,[1],NA,1.0
899177,[1],BAJA,1.0
819562,[1],NA,1.0
890130,[-1],NA,0.0
875450,[-1],NA,0.2
884596,[1],NA,1.0
812293,[1],NA,1.0
830518,[-1],NA,0.0
806334,[1],NA,1.0
827288,[1],BAJA,1.0
874996,[1],NA,1.0
812611,[1],NA,1.0
877173,[1],BAJA,1.0
895796,[1],BAJA,1.0
844404,[1],BAJA,0.8
841517,[-1],NA,0.0
849776,[1],BAJA,1.0
885681,[1],BAJA,1.0
955810,[-1],NA,1.0
956432,[-1],NA,1.0
956433,[-1],NA,1.0
956557,[-1],NA,1.0
956686,[-1],NA,1.0
956687,[-1],BAJA,1.0
956688,[-1],BAJA,1.0
956842,[-1],NA,1.0
956847,[-1],BAJA,1.0
956881,[-1],NA,1.0
956882,[-1],NA,1.0
957165,[-1],NA,1.0
957166,[-1],NA,1.0
957456,[-1],MEDIA,1.0
957495,[-1],NA,1.0
