NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
912289,[-1],NA
902289,[-1],NA
937611,[-1],NA
901470,[-1],NA
824852,[-1],NA
810062,[-1],NA
844623,[-1],NA
879150,[-1],NA
856758,[-1],NA
903025,[-1],NA
930233,[-1],NA
936612,[-1],NA
869997,[-1],BAJA
909114,[-1],NA
824732,[-1],NA
805497,[-1],NA
852508,[-1],BAJA
833780,[-1],BAJA
921262,[-1],NA
890130,[-1],NA
875450,[-1],NA
830518,[-1],NA
841517,[-1],NA
955810,[-1],NA
956432,[-1],NA
956433,[-1],NA
956557,[-1],NA
956686,[-1],NA
956687,[-1],BAJA
956688,[-1],BAJA
956842,[-1],NA
956847,[-1],BAJA
956881,[-1],NA
956882,[-1],NA
957165,[-1],NA
957166,[-1],NA
957495,[-1],NA
