NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
901451,[-1],NA
846567,[-1],NA
917563,[-1],NA
909573,[-1],NA
829596,[-1],NA
937270,[-1],BAJA
839266,[-1],NA
865086,[-1],NA
887142,[-1],NA
904543,[-1],NA
834399,[-1],BAJA
842747,[-1],NA
904945,[-1],NA
847225,[-1],BAJA
854147,[-1],NA
872884,[-1],BAJA
805761,[-1],NA
851811,[-1],BAJA
856276,[-1],NA
829946,[-1],NA
865665,[-1],NA
911436,[-1],NA
855075,[-1],NA
916051,[-1],NA
895635,[-1],BAJA
823157,[-1],NA
917447,[-1],BAJA
862318,[-1],NA
889533,[-1],NA
848621,[-1],NA
810764,[-1],NA
849686,[-1],NA
884901,[-1],NA
852239,[-1],NA
823999,[-1],BAJA
845886,[-1],BAJA
905835,[-1],NA
834409,[-1],BAJA
811417,[-1],NA
903957,[-1],NA
935855,[-1],NA
820458,[-1],NA
847406,[-1],NA
829265,[-1],NA
922482,[-1],BAJA
856735,[-1],NA
859836,[-1],NA
834364,[-1],BAJA
920080,[-1],BAJA
912791,[-1],NA
934028,[-1],NA
926062,[-1],BAJA
906702,[-1],BAJA
884711,[-1],NA
881490,[-1],NA
913070,[-1],NA
820487,[-1],BAJA
905081,[-1],BAJA
861220,[-1],NA
912605,[-1],BAJA
892539,[-1],NA
837060,[-1],BAJA
915430,[-1],NA
889747,[-1],BAJA
865868,[-1],NA
817289,[-1],BAJA
847622,[-1],NA
856025,[-1],NA
860252,[-1],BAJA
887883,[-1],NA
820827,[-1],NA
844753,[-1],NA
865478,[-1],NA
932399,[-1],NA
877160,[-1],BAJA
920361,[-1],BAJA
831327,[-1],NA
905555,[-1],BAJA
875649,[-1],NA
932300,[-1],NA
891037,[-1],NA
810436,[-1],BAJA
816052,[-1],NA
915210,[-1],NA
881718,[-1],BAJA
840658,[-1],BAJA
926197,[-1],NA
929609,[-1],NA
895478,[-1],NA
882821,[-1],NA
901371,[-1],NA
929232,[-1],BAJA
898415,[-1],NA
906302,[-1],NA
921522,[-1],NA
858071,[-1],NA
894020,[-1],BAJA
902684,[-1],NA
852285,[-1],NA
918136,[-1],NA
891343,[-1],NA
908709,[-1],NA
836280,[-1],NA
892394,[-1],BAJA
919964,[-1],NA
886200,[-1],BAJA
837377,[-1],NA
923817,[-1],NA
867062,[-1],BAJA
936333,[-1],NA
830612,[-1],BAJA
843325,[-1],NA
847329,[-1],NA
860324,[-1],NA
846887,[-1],BAJA
927697,[-1],NA
885380,[-1],BAJA
894514,[-1],NA
866838,[-1],BAJA
908874,[-1],BAJA
865832,[-1],NA
807632,[-1],BAJA
910765,[-1],BAJA
841122,[-1],BAJA
827510,[-1],BAJA
904256,[-1],BAJA
823249,[-1],BAJA
891636,[-1],NA
901987,[-1],NA
877612,[-1],NA
881604,[-1],NA
807381,[-1],BAJA
873909,[-1],NA
837222,[-1],NA
844185,[-1],NA
885328,[-1],NA
910703,[-1],NA
824795,[-1],NA
824790,[-1],NA
898215,[-1],NA
897925,[-1],NA
834600,[-1],NA
934210,[-1],NA
815685,[-1],BAJA
875515,[-1],BAJA
859389,[-1],BAJA
916935,[-1],NA
937842,[-1],NA
820274,[-1],BAJA
912585,[-1],BAJA
882532,[-1],NA
821447,[-1],BAJA
809366,[-1],NA
915348,[-1],BAJA
852685,[-1],BAJA
917043,[-1],NA
906333,[-1],BAJA
836839,[-1],NA
837258,[-1],NA
916613,[-1],NA
906273,[-1],BAJA
891786,[-1],BAJA
912803,[-1],NA
879617,[-1],BAJA
931201,[-1],NA
922284,[-1],BAJA
874059,[-1],NA
918867,[-1],NA
816143,[-1],NA
806361,[-1],BAJA
872980,[-1],NA
892098,[-1],NA
929321,[-1],NA
896707,[-1],NA
867803,[-1],BAJA
906573,[-1],NA
925052,[-1],NA
889364,[-1],NA
923148,[-1],BAJA
920121,[-1],BAJA
905866,[-1],BAJA
893009,[-1],NA
901378,[-1],NA
832229,[-1],NA
896348,[-1],BAJA
895722,[-1],NA
904656,[-1],NA
835480,[-1],NA
924564,[-1],BAJA
851152,[-1],NA
834463,[-1],NA
832272,[-1],NA
891095,[-1],NA
851896,[-1],NA
937611,[-1],NA
808571,[-1],BAJA
837428,[-1],NA
881873,[-1],BAJA
894674,[-1],NA
885841,[-1],NA
852160,[-1],NA
915850,[-1],BAJA
926784,[-1],BAJA
892047,[-1],NA
891368,[-1],NA
883397,[-1],NA
919120,[-1],NA
864713,[-1],BAJA
869911,[-1],NA
847588,[-1],BAJA
809335,[-1],NA
839497,[-1],BAJA
805052,[-1],NA
845246,[-1],NA
909543,[-1],NA
828401,[-1],NA
817274,[-1],BAJA
819980,[-1],BAJA
843024,[-1],NA
813301,[-1],BAJA
843852,[-1],NA
881459,[-1],NA
812104,[-1],BAJA
837023,[-1],NA
881026,[-1],BAJA
851124,[-1],BAJA
847593,[-1],BAJA
878520,[-1],BAJA
821761,[-1],NA
920301,[-1],BAJA
865770,[-1],NA
820351,[-1],BAJA
838097,[-1],NA
838252,[-1],BAJA
839171,[-1],NA
817062,[-1],BAJA
847944,[-1],BAJA
886475,[-1],NA
898983,[-1],NA
840915,[-1],NA
851998,[-1],NA
928464,[-1],NA
922671,[-1],NA
855769,[-1],BAJA
864646,[-1],BAJA
884319,[-1],BAJA
817313,[-1],BAJA
821071,[-1],BAJA
848634,[-1],NA
859949,[-1],NA
879673,[-1],NA
891545,[-1],NA
918403,[-1],NA
897548,[-1],NA
829564,[-1],NA
852048,[-1],NA
890308,[-1],NA
837516,[-1],BAJA
916972,[-1],NA
848760,[-1],NA
850355,[-1],BAJA
900411,[-1],NA
856122,[-1],BAJA
913349,[-1],BAJA
841088,[-1],NA
815303,[-1],BAJA
839871,[-1],BAJA
886683,[-1],NA
891612,[-1],NA
886668,[-1],NA
891474,[-1],NA
883696,[-1],NA
816609,[-1],NA
823169,[-1],NA
886527,[-1],NA
887802,[-1],BAJA
904194,[-1],BAJA
915196,[-1],BAJA
866236,[-1],BAJA
912959,[-1],BAJA
905028,[-1],NA
928948,[-1],NA
865803,[-1],BAJA
813592,[-1],BAJA
844798,[-1],NA
837466,[-1],BAJA
812285,[-1],NA
845477,[-1],BAJA
853130,[-1],BAJA
876160,[-1],NA
849122,[-1],NA
852049,[-1],BAJA
805256,[-1],NA
906968,[-1],NA
866934,[-1],NA
902794,[-1],NA
839088,[-1],BAJA
844076,[-1],NA
828413,[-1],BAJA
853069,[-1],NA
913079,[-1],NA
929439,[-1],BAJA
816814,[-1],BAJA
841115,[-1],BAJA
815363,[-1],BAJA
901477,[-1],NA
821930,[-1],NA
848858,[-1],BAJA
844609,[-1],NA
850061,[-1],BAJA
926594,[-1],NA
903426,[-1],NA
834884,[-1],NA
878107,[-1],NA
909871,[-1],NA
926144,[-1],NA
926478,[-1],NA
824967,[-1],NA
907525,[-1],BAJA
865975,[-1],BAJA
836895,[-1],NA
840616,[-1],BAJA
829767,[-1],BAJA
881887,[-1],NA
839879,[-1],NA
844047,[-1],BAJA
864577,[-1],NA
879502,[-1],BAJA
917060,[-1],BAJA
897117,[-1],NA
900087,[-1],NA
869372,[-1],NA
841583,[-1],BAJA
838106,[-1],NA
843816,[-1],NA
868554,[-1],NA
864731,[-1],BAJA
905233,[-1],NA
861712,[-1],BAJA
935479,[-1],BAJA
805518,[-1],BAJA
929372,[-1],NA
834349,[-1],BAJA
843819,[-1],NA
820283,[-1],BAJA
850578,[-1],BAJA
889096,[-1],NA
917526,[-1],NA
923015,[-1],NA
842830,[-1],BAJA
890316,[-1],BAJA
852062,[-1],NA
856613,[-1],NA
824478,[-1],NA
851114,[-1],NA
881072,[-1],NA
900212,[-1],NA
901528,[-1],NA
905394,[-1],NA
888483,[-1],BAJA
879399,[-1],NA
829802,[-1],BAJA
837321,[-1],NA
936413,[-1],BAJA
884107,[-1],NA
932002,[-1],NA
848671,[-1],BAJA
913084,[-1],NA
886541,[-1],NA
837720,[-1],NA
838185,[-1],NA
820454,[-1],NA
896698,[-1],NA
887612,[-1],BAJA
935436,[-1],NA
846671,[-1],NA
861368,[-1],BAJA
856242,[-1],NA
809347,[-1],NA
846641,[-1],NA
903025,[-1],NA
810299,[-1],NA
830166,[-1],NA
914044,[-1],NA
924235,[-1],NA
900210,[-1],NA
898987,[-1],BAJA
928193,[-1],NA
904230,[-1],NA
929712,[-1],NA
850670,[-1],NA
845285,[-1],NA
869997,[-1],BAJA
878089,[-1],BAJA
860145,[-1],NA
835044,[-1],NA
916197,[-1],NA
812238,[-1],NA
892513,[-1],NA
870526,[-1],NA
865497,[-1],BAJA
815162,[-1],NA
818750,[-1],NA
805267,[-1],NA
835618,[-1],BAJA
860984,[-1],NA
823501,[-1],NA
833645,[-1],NA
866654,[-1],NA
846971,[-1],NA
862078,[-1],BAJA
883392,[-1],BAJA
936748,[-1],BAJA
908189,[-1],NA
905443,[-1],NA
928860,[-1],NA
841300,[-1],NA
858036,[-1],NA
886502,[-1],BAJA
910803,[-1],BAJA
937306,[-1],NA
813588,[-1],NA
828427,[-1],BAJA
897890,[-1],NA
835705,[-1],NA
829952,[-1],NA
933069,[-1],BAJA
842417,[-1],BAJA
806026,[-1],BAJA
905095,[-1],NA
813904,[-1],BAJA
865533,[-1],NA
914405,[-1],BAJA
844365,[-1],NA
833690,[-1],NA
833748,[-1],NA
869015,[-1],NA
908726,[-1],BAJA
819043,[-1],NA
900216,[-1],NA
911144,[-1],BAJA
849044,[-1],NA
824732,[-1],NA
828357,[-1],NA
836086,[-1],NA
844505,[-1],BAJA
836108,[-1],NA
842819,[-1],NA
905941,[-1],NA
890786,[-1],NA
936566,[-1],BAJA
852269,[-1],NA
901490,[-1],NA
