NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
829623,[-1],MEDIA
896815,[-1],ALTA
815887,[-1],MEDIA
920658,[-1],MEDIA
847526,[-1],MEDIA
844197,[-1],MEDIA
851453,[-1],ALTA
843755,[-1],MEDIA
847491,[-1],MEDIA
920504,[-1],MEDIA
862768,[-1],MEDIA
937670,[-1],MEDIA
901285,[-1],MEDIA
852644,[-1],MEDIA
839798,[-1],MEDIA
913374,[-1],ALTA
890602,[-1],MEDIA
916459,[-1],MEDIA
829453,[-1],MEDIA
893430,[-1],MEDIA
920681,[-1],MEDIA
904605,[-1],ALTA
911677,[-1],MEDIA
854651,[-1],MEDIA
808994,[-1],MEDIA
907704,[-1],MEDIA
868948,[-1],ALTA
912408,[-1],MEDIA
820663,[-1],MEDIA
900116,[-1],MEDIA
891854,[-1],MEDIA
927974,[-1],ALTA
874258,[-1],MEDIA
920692,[-1],MEDIA
873284,[-1],MEDIA
823947,[-1],ALTA
886058,[-1],MEDIA
908581,[-1],MEDIA
920084,[-1],MEDIA
890909,[-1],MEDIA
822199,[-1],MEDIA
843275,[-1],MEDIA
862944,[-1],ALTA
872230,[-1],MEDIA
896705,[-1],MEDIA
870897,[-1],MEDIA
825375,[-1],MEDIA
891322,[-1],MEDIA
878198,[-1],MEDIA
880594,[-1],MEDIA
819645,[-1],MEDIA
903561,[-1],MEDIA
835622,[-1],ALTA
886462,[-1],MEDIA
829685,[-1],MEDIA
920507,[-1],MEDIA
812778,[-1],MEDIA
914874,[-1],MEDIA
859273,[-1],MEDIA
901429,[-1],MEDIA
871088,[-1],MEDIA
935860,[-1],MEDIA
859866,[-1],MEDIA
908206,[-1],ALTA
908098,[-1],MEDIA
836212,[-1],MEDIA
836925,[-1],MEDIA
891570,[-1],MEDIA
828608,[-1],MEDIA
851425,[-1],ALTA
829314,[-1],ALTA
839534,[-1],MEDIA
864530,[-1],MEDIA
923625,[-1],MEDIA
820140,[-1],MEDIA
904308,[-1],MEDIA
840696,[-1],MEDIA
834282,[-1],MEDIA
840792,[-1],MEDIA
839228,[-1],MEDIA
840763,[-1],MEDIA
864586,[-1],MEDIA
810454,[-1],ALTA
910042,[-1],MEDIA
881054,[-1],MEDIA
874374,[-1],MEDIA
891071,[-1],MEDIA
810456,[-1],ALTA
927351,[-1],MEDIA
829136,[-1],MEDIA
917483,[-1],MEDIA
825293,[-1],MEDIA
891358,[-1],MEDIA
894570,[-1],MEDIA
863019,[-1],ALTA
833281,[-1],MEDIA
835045,[-1],MEDIA
833421,[-1],MEDIA
900894,[-1],MEDIA
840565,[-1],MEDIA
885900,[-1],MEDIA
932145,[-1],MEDIA
901396,[-1],MEDIA
930409,[-1],MEDIA
863566,[-1],ALTA
912409,[-1],MEDIA
873682,[-1],ALTA
873033,[-1],MEDIA
863487,[-1],MEDIA
880667,[-1],MEDIA
932291,[-1],MEDIA
880801,[-1],MEDIA
870297,[-1],MEDIA
896454,[-1],MEDIA
850583,[-1],ALTA
864664,[-1],MEDIA
844627,[-1],MEDIA
881028,[-1],MEDIA
836231,[-1],MEDIA
901138,[-1],MEDIA
887114,[-1],ALTA
