CONFIGURACION,MODELO,RESULTADO_AC,RESULTADO_SENS,RESULTADO_F1,RESULTADO_ACC,CONFIGURACION_MODELO
0,SVM,0.8695652173913043,0.5,0.9285714285714285,0.8565217391304347,"OneClassSVM(gamma=0.1, nu=0.05)"
1,SVM,0.5,0.5,0.6567164179104478,0.45217391304347837,"OneClassSVM(gamma=0.1, kernel='linear', nu=0.05)"
2,SVM,0.3695652173913043,0.0,0.5396825396825397,0.3739130434782609,"OneClassSVM(gamma=0.1, kernel='poly', nu=0.05)"
3,SVM,0.8695652173913043,0.0,0.9302325581395349,0.9173913043478261,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.05)"
4,SVM,0.9565217391304348,0.5,0.9772727272727273,0.9217391304347826,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.04)"
5,SVM,0.4782608695652174,0.5,0.6363636363636365,0.5434782608695653,"OneClassSVM(gamma=0.01, kernel='sigmoid', nu=0.05)"
6,SVM,0.5434782608695652,0.0,0.7042253521126761,0.4782608695652174,"OneClassSVM(gamma=0.01, kernel='sigmoid', nu=0.04)"
7,SVM,0.5,1.0,0.6461538461538462,0.5217391304347826,"OneClassSVM(gamma=0.001, kernel='sigmoid', nu=0.05)"
8,SVM,0.5869565217391305,1.0,0.7246376811594203,0.35652173913043483,"OneClassSVM(gamma=0.001, kernel='sigmoid', nu=0.04)"
9,SVM,0.9347826086956522,0.0,0.9662921348314608,0.9217391304347826,"OneClassSVM(gamma=0.2, kernel='sigmoid', nu=0.05)"
10,SVM,0.9782608695652174,1.0,0.9885057471264368,0.9043478260869564,"OneClassSVM(gamma=0.2, kernel='sigmoid', nu=0.04)"
11,SVM,0.9347826086956522,0.5,0.9655172413793104,0.8956521739130435,"OneClassSVM(gamma=0.5, kernel='sigmoid', nu=0.05)"
12,SVM,0.9130434782608695,0.0,0.9545454545454546,0.9000000000000001,"OneClassSVM(gamma=0.5, kernel='sigmoid', nu=0.04)"
